sneakers_ref,img_url2,title,color,brand,img_url
899657-010,https://www.solekitchen.de/media/image/3a/11/2b/899657-010-jordan-classic-99-metal-jumpman-black-01_225x215.jpg,Jordan Classic 99 Metal Jumpman - Black,black,Nike Air Jordan,https://www.solekitchen.de/media/image/9e/9c/42/899657-010-jordan-classic-99-metal-jumpman-black-01_470x449.jpg
580603-300,https://www.solekitchen.de/media/image/f8/a4/3c/nike-580603-300-jordan-son-of-mars-low-olive-01_225x215.jpg,Air Jordan Son Of Mars Low - Olive,green,Nike Air Jordan,https://www.solekitchen.de/media/image/9c/17/87/nike-580603-300-jordan-son-of-mars-low-olive-01_470x449.jpg
AV3922-101,https://www.solekitchen.de/media/image/1b/2e/93/nike-AV3922-101-air-jordan-legacy-312-white-navy-01_225x215.jpg,Air Jordan Legacy 312 Dream Team - White,white,Nike Air Jordan,https://www.solekitchen.de/media/image/83/bb/30/nike-AV3922-101-air-jordan-legacy-312-white-navy-01_470x449.jpg
AH6238-687,https://www.solekitchen.de/media/image/c4/be/30/nike-AH6238-687-jordan-jumpman-hybrid-half-zip-gym-red-01_225x215.jpg,Jumpman Hybrid Half Zip Fleece - Gym Red,red,Nike Air Jordan,https://www.solekitchen.de/media/image/7c/3e/fd/nike-AH6238-687-jordan-jumpman-hybrid-half-zip-gym-red-01_470x449.jpg
861452-013,https://www.solekitchen.de/media/image/ed/ab/9b/861452-013-nike-jordan-jumpman-snapback-black-white-5_225x215.jpg,Jordan Jumpman Snapback - Black White,black,Nike Air Jordan,https://www.solekitchen.de/media/image/79/d3/8b/861452-013-nike-jordan-jumpman-snapback-black-white-5_470x449.jpg
AV3922-126,https://www.solekitchen.de/media/image/0b/29/dd/nike-AV3922-126-air-jordan-legacy-312-camo-00_225x215.jpg,Air Jordan Legacy 312 - Desert Camo,beige,Nike Air Jordan,https://www.solekitchen.de/media/image/62/37/d9/nike-AV3922-126-air-jordan-legacy-312-camo-00_470x449.jpg
AR1000-006,https://www.solekitchen.de/media/image/b2/f6/b4/nike-AR1000-006-jordan-courtside-23-black-red-01_225x215.jpg,Jordan Courtside 23 - Black Red,black,Nike Air Jordan,https://www.solekitchen.de/media/image/4a/96/67/nike-AR1000-006-jordan-courtside-23-black-red-01_470x449.jpg
AV7009-001,https://www.solekitchen.de/media/image/24/0d/bd/nike-AV7009-001-jordan-executive-black-cooper-01_225x215.jpg,Air Jordan Executive Premium - Black Copper,black,Nike Air Jordan,https://www.solekitchen.de/media/image/43/30/12/nike-AV7009-001-jordan-executive-black-cooper-01_470x449.jpg
554724-125,https://www.solekitchen.de/media/image/cc/9d/e3/nike-554724-125-air-jordan-1-multi-00_225x215.jpg,Air Jordan 1 Mid - Multi,multi,Nike Air Jordan,https://www.solekitchen.de/media/image/39/7e/66/nike-554724-125-air-jordan-1-multi-00_470x449.jpg
AT0575-006,https://www.solekitchen.de/media/image/d5/c6/8e/nike-AT0575-006-air-jordan-1-hi-zip-womens-black-01_225x215.jpg,Air Jordan 1 High Zip Premium Womens - Black,black,Nike Air Jordan,https://www.solekitchen.de/media/image/31/3e/d0/nike-AT0575-006-air-jordan-1-hi-zip-womens-black-01_470x449.jpg
861452-015,https://www.solekitchen.de/media/image/62/be/88/861452-011-nike-jordan-jumpman-snap-black-red-1_225x215.jpg,Jordan Jumpman Snapback - Black Red,black,Nike Air Jordan,https://www.solekitchen.de/media/image/1c/4f/f8/861452-011-nike-jordan-jumpman-snap-black-red-1_470x449.jpg
861452-010,https://www.solekitchen.de/media/image/f9/dd/a5/861452-010-nike-jordan-jumpman-snap-all-black-03_225x215.jpg,Jordan Jumpman Snapback - Black,black,Nike Air Jordan,https://www.solekitchen.de/media/image/03/27/d5/861452-010-nike-jordan-jumpman-snap-all-black-03_470x449.jpg
AR1000-104,https://www.solekitchen.de/media/image/ba/10/e9/nike-AR1000-104-air-jordan-courtside-23-white-concord-01_225x215.jpg,Jordan Courtside 23 - White Dark Concord,white,Nike Air Jordan,https://www.solekitchen.de/media/image/01/b8/62/nike-AR1000-104-air-jordan-courtside-23-white-concord-01_470x449.jpg
JM1647-1201,https://www.sneakersnstuff.com/images/99232/external-large.jpg,Jason Markk Standard Shoe Cleaning Brush,,Jason Markk,https://www.sneakersnstuff.com/images/99232/external-large.jpg
BQ1918-102,https://www.sneakersnstuff.com/images/220609/external-large.jpg,Nike Air Max 270 Ispa,White/Ghost Aqua/Amber Rise,Nike,https://www.sneakersnstuff.com/images/220609/external-large.jpg
DB3528,https://www.sneakersnstuff.com/images/220531/external-large.jpg,adidas Lxcon,Ftwr White/Active Blue/Core Black,adidas,https://www.sneakersnstuff.com/images/220531/external-large.jpg
DY9341,https://www.sneakersnstuff.com/images/220503/external-large.jpg,adidas Y-3 Bucket Hat,Core White/Salty Champagne,adidas,https://www.sneakersnstuff.com/images/220503/external-large.jpg
BQ0006-401,https://www.sneakersnstuff.com/images/220462/external-large.jpg,Jordan Brand Wmns Air Jordan 3 Retro Exp Xx,Midnight Navy/Light Cream/Light Cream,Jordan Brand,https://www.sneakersnstuff.com/images/220462/external-large.jpg
F99806,https://www.sneakersnstuff.com/images/220444/external-large.jpg,adidas Y-3 Byw Bball,Core Black/Ftwr White/Red,adidas,https://www.sneakersnstuff.com/images/220444/external-large.jpg
F97395,https://www.sneakersnstuff.com/images/220437/external-large.jpg,adidas Y-3 Reberu,Core Black/Core Black/FTWR White,adidas,https://www.sneakersnstuff.com/images/220437/external-large.jpg
F99797,https://www.sneakersnstuff.com/images/220434/external-large.jpg,adidas Y-3 Ren,Core Black/Core Black/FTWR White,adidas,https://www.sneakersnstuff.com/images/220434/external-large.jpg
F97496,https://www.sneakersnstuff.com/images/220423/external-large.jpg,adidas Y-3 Super Takusan,Core Black/Core Black/FTWR White,adidas,https://www.sneakersnstuff.com/images/220423/external-large.jpg
DY0535,https://www.sneakersnstuff.com/images/220371/external-large.jpg,adidas Y-3 Mini Bag,Salty Green,adidas,https://www.sneakersnstuff.com/images/220371/external-large.jpg
AQ9244-600,https://www.sneakersnstuff.com/images/220322/external-large.jpg,Jordan Brand Air Jordan Xxxiii (Gs),University Red/University Red/Black,Jordan Brand,https://www.sneakersnstuff.com/images/220322/external-large.jpg
314996-405,https://www.sneakersnstuff.com/images/220248/external-large.jpg,Nike Air Foamposite 1,Midnight Navy/Midnight Navy,Nike,https://www.sneakersnstuff.com/images/220248/external-large.jpg
AQ2728-105,https://www.sneakersnstuff.com/images/220182/external-large.jpg,Nike Kobe 1 Protro,White/Black/Varsity Purple,Nike,https://www.sneakersnstuff.com/images/220182/external-large.jpg
VN0A38G1SHJ,https://www.sneakersnstuff.com/images/220128/external-large.jpg,Vans Og Old Skool Lx,(Y.O.P./Purlicue) Racing Red/Marshmallow,Vans,https://www.sneakersnstuff.com/images/220128/external-large.jpg
VN0A38FRSHI,https://www.sneakersnstuff.com/images/220119/external-large.jpg,Vans Og Era Lx,(Y.O.P./Purlicue) Marshmallow/Racing red,Vans,https://www.sneakersnstuff.com/images/220119/external-large.jpg
555088-018,https://www.sneakersnstuff.com/images/220109/external-large.jpg,Jordan Brand Air Jordan 1 Retro High Og,Neutral Grey/Black/Hyper Crimson,Jordan Brand,https://www.sneakersnstuff.com/images/220109/external-large.jpg
T93FWOBK9,https://www.sneakersnstuff.com/images/220078/external-large.jpg,The North Face Base Camp Slide Ii,TNF Black/Aztec Blue,The North Face,https://www.sneakersnstuff.com/images/220078/external-large.jpg
BQ6245-400,https://www.sneakersnstuff.com/images/220007/external-large.jpg,Nike Zoom Kd11 Bhm,Blue Void/Black/Squadron Blue,Nike,https://www.sneakersnstuff.com/images/220007/external-large.jpg
BQ5969-101,https://www.sneakersnstuff.com/images/219989/external-large.jpg,Nike Lebron Xvi,White/Black,Nike,https://www.sneakersnstuff.com/images/219989/external-large.jpg
D96944,https://www.sneakersnstuff.com/images/219974/external-large.jpg,adidas Marquee Boost,Core Navy/Grey/Grey Six,adidas,https://www.sneakersnstuff.com/images/219974/external-large.jpg
AQ8830-600,https://www.sneakersnstuff.com/images/219912/external-large.jpg,Jordan Brand Air Jordan Xxxiii,University Red/University Red/Black,Jordan Brand,https://www.sneakersnstuff.com/images/219912/external-large.jpg
AT3147-100,https://www.sneakersnstuff.com/images/219896/external-large.jpg,Nike Air Monarch Iv / Martine Rose,White/Metallic Silver,Nike,https://www.sneakersnstuff.com/images/219896/external-large.jpg
DU9609,https://www.sneakersnstuff.com/images/219826/external-large.jpg,adidas Run Cap x Kinfolk,Night Navy,adidas,https://www.sneakersnstuff.com/images/219826/external-large.jpg
BA5849-210,https://www.sneakersnstuff.com/images/219813/external-large.jpg,Nike Heritage Printed Waistpack,Iguana/Black/Team Orange,Nike,https://www.sneakersnstuff.com/images/219813/external-large.jpg
BA5750-010,https://www.sneakersnstuff.com/images/219808/external-large.jpg,Nike Heritage Hip Pack,Black/Black/White,Nike,https://www.sneakersnstuff.com/images/219808/external-large.jpg
T93ETO6SK,https://www.sneakersnstuff.com/images/219693/external-large.jpg,The North Face Base Camp Duffel - s,Aztec Blue/TNF Black,The North Face,https://www.sneakersnstuff.com/images/219693/external-large.jpg
T0CGZ0BK9,https://www.sneakersnstuff.com/images/219688/external-large.jpg,The North Face Sun Stash Hat,Black/Aztec Blue,The North Face,https://www.sneakersnstuff.com/images/219688/external-large.jpg
CI3125-100,https://www.sneakersnstuff.com/images/219617/external-large.jpg,Jordan Brand Air Jordan 6 Retro Ltr,White/Dark Concord/Black,Jordan Brand,https://www.sneakersnstuff.com/images/219617/external-large.jpg
G54785,https://www.sneakersnstuff.com/images/219598/external-large.jpg,adidas Gazelle Super x Have a Good Time,Clear Blue/Core Black/Chalk White,adidas,https://www.sneakersnstuff.com/images/219598/external-large.jpg
G54786,https://www.sneakersnstuff.com/images/219588/external-large.jpg,adidas Superstar 80s x Have a Good Time,Ftwr White/Core Black/Chalk White,adidas,https://www.sneakersnstuff.com/images/219588/external-large.jpg
AV3555-003,https://www.sneakersnstuff.com/images/219582/external-large.jpg,Nike Kobe Ad,Black/Racer Blue,Nike,https://www.sneakersnstuff.com/images/219582/external-large.jpg
BV0074-001,https://www.sneakersnstuff.com/images/219576/external-large.jpg,Nike M2k Tekno Sp,Atmosphere Grey/Gunsmoke/Dark Grey,Nike,https://www.sneakersnstuff.com/images/219576/external-large.jpg
CD1533-001,https://www.sneakersnstuff.com/images/219568/external-large.jpg,Nike Air Max Plus Tn Se,Black/Hyper Crimson/Dark Grey,Nike,https://www.sneakersnstuff.com/images/219568/external-large.jpg
AQ9213-100,https://www.sneakersnstuff.com/images/219399/external-large.jpg,Jordan Brand Air Jordan 19 Retro,White/Chrome/Flint Grey,Jordan Brand,https://www.sneakersnstuff.com/images/219399/external-large.jpg
DV3735,https://www.sneakersnstuff.com/images/219375/external-large.jpg,Reebok Workout Low Plus,Chalk/Paper White/Green,Reebok,https://www.sneakersnstuff.com/images/219375/external-large.jpg
F35231,https://www.sneakersnstuff.com/images/219356/external-large.jpg,adidas Ultraboost,Core Black/Grey Three/Scarlet,adidas,https://www.sneakersnstuff.com/images/219356/external-large.jpg
191895-01,https://www.sneakersnstuff.com/images/219236/external-large.jpg,Puma Clyde Court Hw,Puma Black,Puma,https://www.sneakersnstuff.com/images/219236/external-large.jpg
